phase FPC1 FPC2 FPC3 FPC4 mean
-10.0 -0.0034219999999999945 0.624892 0.775276 -0.256266 0.367668
-9.9 -0.0035489999999999966 0.6199349999999999 0.77191 -0.25263 0.36041200000000007
-9.8 -0.0036759999999999987 0.614978 0.768544 -0.248994 0.353156
-9.7 -0.003803000000000001 0.610021 0.765179 -0.245359 0.3459
-9.6 -0.0038809999999999956 0.604537 0.7610129999999999 -0.241554 0.3386450000000001
-9.5 -0.003958000000000003 0.599046 0.756837 -0.237746 0.33138900000000004
-9.4 -0.004035999999999998 0.593555 0.75266 -0.233939 0.324133
-9.3 -0.004064999999999999 0.587546 0.7476959999999999 -0.22996299999999997 0.3171860000000001
-9.2 -0.004092999999999999 0.58152 0.7427090000000001 -0.225983 0.310261
-9.1 -0.004121 0.575496 0.7377210000000001 -0.22200399999999998 0.303335
-9.0 -0.004102000000000008 0.568961 0.731959 -0.21786 0.29640799999999995
-8.9 -0.00408 0.562402 0.726159 -0.213707 0.289482
-8.8 -0.004056999999999991 0.555842 0.72036 -0.20955400000000002 0.28255699999999995
-8.7 -0.0039889999999999926 0.548782 0.7138 -0.20524 0.27592
-8.6 -0.003917999999999991 0.541689 0.70719 -0.200915 0.269324
-8.5 -0.003846000000000002 0.534596 0.70058 -0.19659000000000001 0.26272700000000004
-8.4 -0.003730000000000011 0.527009 0.69322 -0.192106 0.25613100000000005
-8.3 -0.003609000000000001 0.519383 0.6858 -0.187609 0.249535
-8.2 -0.003488000000000005 0.511756 0.678379 -0.183111 0.24293900000000002
-8.1 -0.0033219999999999916 0.503643 0.67022 -0.178458 0.23661299999999996
-8.0 -0.003152000000000002 0.495482 0.661989 -0.173789 0.23034600000000005
-7.9 -0.0029810000000000114 0.487321 0.653756 -0.16911900000000002 0.22407900000000003
-7.8 -0.0027669999999999917 0.478683 0.644799 -0.164295 0.217812
-7.7 -0.0025469999999999937 0.46998799999999996 0.635756 -0.159453 0.211546
-7.6 -0.0023259999999999947 0.46129299999999995 0.6267130000000001 -0.154611 0.205279
-7.5 -0.0020630000000000023 0.452129 0.616958 -0.149618 0.19926299999999997
-7.4 -0.001794000000000004 0.4429 0.607104 -0.144604 0.193326
-7.3 -0.0015239999999999976 0.43367200000000006 0.5972500000000001 -0.13959 0.18738899999999997
-7.2 -0.0012119999999999978 0.423981 0.586695 -0.134427 0.18145300000000003
-7.1 -0.000892999999999998 0.414219 0.57603 -0.129239 0.175516
-7.0 -0.0005729999999999971 0.404456 0.565365 -0.124053 0.16958
-6.9 -0.0002129999999999979 0.39424000000000003 0.554012 -0.118721 0.163873
-6.8 0.00015600000000000336 0.38394399999999995 0.542536 -0.11336199999999999 0.15826500000000002
-6.7 0.0005250000000000046 0.37364600000000003 0.5310600000000001 -0.10800300000000002 0.152659
-6.6 0.0009340000000000043 0.36290500000000003 0.5189079999999999 -0.10250000000000001 0.14705100000000002
-6.5 0.001353 0.35207499999999997 0.506621 -0.096969 0.14144500000000002
-6.4 0.0017710000000000017 0.341244 0.494334 -0.09143699999999999 0.13583699999999999
-6.3 0.002230000000000003 0.329976 0.481383 -0.08576500000000001 0.13046000000000002
-6.2 0.002697999999999999 0.318612 0.468285 -0.080061 0.125214
-6.1 0.003165000000000001 0.307247 0.45518800000000004 -0.07435800000000001 0.11996699999999999
-6.0 0.0036479999999999985 0.295743 0.44176099999999996 -0.068685 0.11472100000000002
-5.9 0.004133999999999999 0.284205 0.42825599999999997 -0.06301999999999999 0.10947500000000002
-5.8 0.004620000000000006 0.272667 0.414749 -0.057354 0.10422899999999999
-5.7 0.005058 0.261708 0.401722 -0.052139 0.09935199999999997
-5.6 0.005482999999999995 0.25090500000000004 0.38882300000000003 -0.047044 0.094747
-5.5 0.005908999999999998 0.24010199999999998 0.37592400000000004 -0.041949 0.090141
-5.4 0.006283999999999998 0.229908 0.363539 -0.037319000000000005 0.085536
-5.3 0.006644999999999998 0.21989199999999998 0.351305 -0.032824000000000006 0.080931
-5.2 0.007004999999999997 0.209875 0.33907 -0.028329 0.076326
-5.1 0.007315999999999996 0.200456 0.327341 -0.02429 0.07208600000000001
-5.0 0.007611 0.191226 0.315771 -0.020397 0.068192
-4.9 0.007907 0.181997 0.304202 -0.016502 0.06429699999999999
-4.8 0.008153999999999998 0.173352 0.293127 -0.013054 0.06040200000000001
-4.7 0.008383999999999996 0.164909 0.282223 -0.009760999999999999 0.05650699999999999
-4.6 0.008614999999999998 0.156466 0.271318 -0.006467 0.052612000000000006
-4.5 0.008798000000000004 0.148596 0.260898 -0.0036109999999999996 0.049041000000000015
-4.4 0.008963999999999996 0.14094 0.250659 -0.0009170000000000003 0.04585499999999999
-4.3 0.009127999999999997 0.133285 0.240419 0.0017760000000000002 0.042671
-4.2 0.009248 0.12619 0.230654 0.0040409999999999995 0.03948600000000001
-4.1 0.009347999999999999 0.11932 0.22107900000000003 0.0061340000000000006 0.036301
-4.0 0.009448999999999999 0.112451 0.211505 0.008227 0.03311700000000001
-3.9 0.009502999999999998 0.106131 0.202395 0.009899999999999999 0.030212000000000003
-3.8 0.009538999999999999 0.100049 0.19348500000000002 0.011392 0.027738
-3.7 0.009574 0.093967 0.18457600000000002 0.012884999999999999 0.025263000000000008
-3.6 0.009565 0.088422 0.176121 0.013967 0.022789000000000004
-3.5 0.009536000000000001 0.083126 0.167876 0.014859 0.020314000000000013
-3.4 0.009505 0.07783000000000001 0.159631 0.015751 0.017839999999999995
-3.3 0.009433000000000002 0.07306 0.151831 0.016242 0.015601999999999998
