phase FPC1 FPC2 FPC3 FPC4 mean
-10.0 0.00493600000000001 -0.09374099999999999 1.013058 -0.08710799999999999 0.361378
-9.9 0.0046690000000000065 -0.09642600000000001 1.008211 -0.087982 0.3523160000000001
-9.8 0.004402000000000003 -0.099111 1.003365 -0.08885699999999999 0.343255
-9.7 0.004136000000000001 -0.10179599999999998 0.998519 -0.089732 0.33419299999999996
-9.6 0.0039050000000000057 -0.104045 0.99264 -0.09038 0.3251320000000001
-9.5 0.0036749999999999977 -0.106286 0.9867459999999999 -0.09102400000000001 0.31606999999999996
-9.4 0.0034440000000000026 -0.10852800000000001 0.980852 -0.09167 0.307009
-9.3 0.003248000000000001 -0.11034 0.973941 -0.09209099999999999 0.298756
-9.2 0.003053 -0.112138 0.966998 -0.092506 0.29055699999999995
-9.1 0.0028579999999999994 -0.113936 0.960056 -0.092921 0.28235699999999997
-9.0 0.002696999999999991 -0.115311 0.952113 -0.093118 0.274157
-8.9 0.0025389999999999996 -0.116666 0.9441219999999999 -0.093303 0.265957
-8.8 0.002380000000000007 -0.118021 0.936131 -0.09348800000000002 0.25775799999999993
-8.7 0.002255000000000007 -0.118959 0.9271560000000001 -0.093457 0.250316
-8.6 0.002132000000000009 -0.119871 0.918118 -0.093413 0.24297800000000003
-8.5 0.002009999999999998 -0.120782 0.909078 -0.093368 0.23564000000000002
-8.4 0.0019189999999999902 -0.12128400000000002 0.899071 -0.09311199999999999 0.22830300000000003
-8.3 0.0018320000000000003 -0.12175099999999998 0.8889849999999999 -0.092837 0.220966
-8.2 0.0017449999999999966 -0.122219 0.878898 -0.092562 0.21362799999999998
-8.1 0.001690999999999998 -0.122284 0.867858 -0.09208 0.20699599999999996
-8.0 0.0016400000000000026 -0.12230899999999999 0.856723 -0.091576 0.20052000000000003
-7.9 0.0015889999999999932 -0.12233300000000001 0.845588 -0.09107200000000001 0.194044
-7.8 0.001570000000000002 -0.121962 0.8335159999999999 -0.090362 0.187568
-7.7 0.0015550000000000008 -0.12154300000000001 0.821333 -0.089629 0.18109200000000003
-7.6 0.0015400000000000066 -0.12112400000000001 0.80915 -0.088894 0.17461700000000002
-7.5 0.0015560000000000018 -0.12031499999999999 0.796046 -0.08795900000000001 0.16879499999999997
-7.4 0.001577000000000002 -0.11945299999999999 0.782815 -0.086996 0.16318
-7.3 0.0015980000000000022 -0.118591 0.769585 -0.08603200000000001 0.15756699999999996
-7.2 0.0016490000000000046 -0.11734599999999999 0.755447 -0.08487 0.151953
-7.1 0.0017070000000000002 -0.11603999999999999 0.741168 -0.083676 0.14633999999999997
-7.0 0.0017640000000000017 -0.11473499999999999 0.72689 -0.082483 0.140727
-6.9 0.0018500000000000044 -0.113052 0.711721 -0.081095 0.135714
-6.8 0.0019430000000000003 -0.11130299999999999 0.696394 -0.07967199999999999 0.13096100000000005
-6.7 0.002036000000000003 -0.109555 0.6810670000000001 -0.07824900000000001 0.12621
-6.6 0.002158 -0.107435 0.664865 -0.07663400000000001 0.12145800000000001
-6.5 0.0022870000000000043 -0.105243 0.6484909999999999 -0.074982 0.116707
-6.4 0.0024150000000000005 -0.103051 0.632115 -0.073328 0.111954
-6.3 0.002572999999999999 -0.10049499999999999 0.6148819999999999 -0.071488 0.10773000000000002
-6.2 0.0027379999999999974 -0.09786000000000002 0.597459 -0.069605 0.10380699999999998
-6.1 0.002902000000000002 -0.095224 0.5800350000000001 -0.067723 0.09988299999999997
-6.0 0.0030820000000000014 -0.092359 0.562201 -0.065732 0.09596100000000002
-5.9 0.003264000000000003 -0.089436 0.5442659999999999 -0.063715 0.09203700000000001
-5.8 0.0034470000000000056 -0.086514 0.526331 -0.061697 0.088114
-5.7 0.003609000000000001 -0.08368 0.5090600000000001 -0.059763 0.08449199999999998
-5.6 0.0037659999999999985 -0.080868 0.491966 -0.057851 0.081092
-5.5 0.003922999999999996 -0.078057 0.474872 -0.055938 0.07768999999999998
-5.4 0.004057999999999999 -0.07534699999999998 0.458488 -0.054117 0.07429000000000002
-5.3 0.004186000000000002 -0.072669 0.442312 -0.05232300000000001 0.07089000000000001
-5.2 0.004313999999999998 -0.06999 0.42613599999999996 -0.050529 0.06749
-5.1 0.004421000000000001 -0.067412 0.41065700000000005 -0.048826 0.06432000000000002
-5.0 0.004520000000000003 -0.064867 0.395399 -0.047151 0.061367000000000005
-4.9 0.004621 -0.062320999999999994 0.380141 -0.045475 0.058414999999999995
-4.8 0.004698999999999995 -0.059872999999999996 0.365566 -0.043887999999999996 0.05546200000000001
-4.7 0.0047699999999999965 -0.057461000000000005 0.351226 -0.042332 0.052508999999999986
